ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects
1,1,14.777777777777779,6.822222222222222,0,1,1
1,2,59.285714285714285,6.714285714285714,0,2,2
1,3,52.674418604651166,14.674418604651162,0,3,3
1,4,86.24444444444444,14.533333333333333,0,4,4
1,5,14.157894736842104,18.157894736842106,0,5,5
1,6,44.407407407407405,20.51851851851852,0,6,6
1,7,34.0,20.5,0,7,7
1,8,73.0,21.0,0,8,8
1,9,27.5,25.0,0,9,9
1,10,8.0,26.261904761904763,0,10,10
1,11,89.15555555555555,25.844444444444445,0,11,11
1,12,18.375,26.84375,0,12,12
1,13,50.18604651162791,26.3953488372093,0,13,13
1,14,57.5,34.5,0,14,14
1,15,16.5,37.7,0,15,15
1,16,46.25581395348837,37.46511627906977,0,16,16
1,17,87.9,36.25,0,17,17
1,18,70.23809523809524,40.04761904761905,0,18,18
1,19,36.35294117647059,41.05882352941177,0,19,19
1,20,90.275,41.7,0,20,20
1,21,25.65,43.775,0,21,21
1,22,69.20689655172414,44.62068965517241,0,22,22
1,23,34.0,45.68,0,23,23
1,24,12.9,47.56666666666667,0,24,24
1,25,58.0,54.0,0,25,25
1,26,70.39024390243902,55.073170731707314,0,26,26
1,27,90.2,54.9,0,27,27
1,28,79.8125,60.666666666666664,0,28,28
1,29,92.66666666666667,60.714285714285715,0,29,29
1,30,20.76923076923077,62.794871794871796,0,30,30
1,31,13.5,67.0,0,31,31
1,32,58.97222222222222,66.30555555555556,0,32,32
1,33,30.044444444444444,68.66666666666667,0,33,33
1,34,48.51428571428571,71.4,0,34,34
1,35,71.86486486486487,72.13513513513513,0,35,35
1,36,91.94594594594595,72.56756756756756,0,36,36
1,37,81.0,75.0,0,37,37
1,38,23.694444444444443,78.02777777777777,0,38,38
1,39,37.65,78.125,0,39,39
1,40,54.473684210526315,81.44736842105263,0,40,40
1,41,75.02777777777777,82.08333333333333,0,41,41
1,42,31.06451612903226,85.58064516129032,0,42,42
1,43,37.24324324324324,89.0,0,43,43
1,44,14.0,90.0,0,44,44
2,1,44.65384615384615,7.653846153846154,0,1,1
2,2,66.04878048780488,8.292682926829269,0,2,2
2,3,21.065217391304348,9.217391304347826,0,3,3
2,4,34.15625,11.625,0,4,4
2,5,51.63636363636363,11.840909090909092,0,5,5
2,6,5.777777777777778,14.0,0,6,6
2,7,72.85,18.3,0,7,7
2,8,21.64814814814815,22.48148148148148,0,8,8
2,9,41.64,22.18,0,9,9
2,10,53.509433962264154,24.41509433962264,0,10,10
2,11,7.85,25.2,0,11,11
2,12,80.13888888888889,24.38888888888889,0,12,12
2,13,32.225,28.65,0,13,13
2,14,68.06818181818181,28.636363636363637,0,14,14
2,15,47.666666666666664,33.86666666666667,0,15,15
2,16,85.0,33.6551724137931,0,16,16
2,17,18.764705882352942,35.588235294117645,0,17,17
2,18,55.89473684210526,37.21052631578947,0,18,18
2,19,72.5,40.5,0,19,19
2,20,51.65384615384615,42.34615384615385,0,20,20
2,21,61.97674418604651,48.41860465116279,0,21,21
2,22,12.894736842105264,48.44736842105263,0,22,22
2,23,74.9423076923077,51.5,0,23,23
2,24,11.0,53.282051282051285,0,24,24
2,25,78.0,63.5,0,25,25
2,26,40.333333333333336,64.01960784313725,0,26,26
2,27,24.75,65.875,0,27,27
2,28,87.0,68.5,0,28,28
2,29,57.59574468085106,73.51063829787235,0,29,29
2,30,17.176470588235293,74.6470588235294,0,30,30
2,31,72.75,78.28125,0,31,31
2,32,92.5,77.5,0,32,32
2,33,54.73076923076923,85.6923076923077,0,33,33
2,34,39.1578947368421,84.84210526315789,0,34,34
2,35,85.18604651162791,85.25581395348837,0,35,35
2,36,69.63461538461539,87.42307692307692,0,36,36
2,37,44.57575757575758,86.51515151515152,0,37,37
2,38,20.58974358974359,91.71794871794872,0,38,38
3,1,34.45161290322581,5.741935483870968,0,1,1
3,2,55.0,5.777777777777778,0,2,2
3,3,10.634146341463415,6.975609756097561,0,3,3
3,4,84.15789473684211,8.157894736842104,0,4,4
3,5,6.206896551724138,11.96551724137931,0,5,5
3,6,47.10344827586207,10.482758620689655,0,6,6
3,7,42.27272727272727,10.909090909090908,0,7,7
3,8,21.175,12.6,0,8,8
3,9,36.53333333333333,13.577777777777778,0,9,9
3,10,73.77777777777777,13.88888888888889,0,10,10
3,11,12.370967741935484,18.35483870967742,0,11,11
3,12,42.95238095238095,22.73015873015873,0,12,12
3,13,81.8,23.584615384615386,0,13,13
3,14,30.272727272727273,24.227272727272727,0,14,14
3,15,25.444444444444443,27.36111111111111,0,15,15
3,16,63.08695652173913,29.706521739130434,0,16,16
3,17,41.535714285714285,34.642857142857146,0,17,17
3,18,19.653846153846153,37.34615384615385,0,18,18
3,19,30.0,36.89473684210526,0,19,19
3,20,86.5,37.5,0,20,20
3,21,11.0,38.10526315789474,0,21,21
3,22,26.682926829268293,47.146341463414636,0,22,22
3,23,92.31914893617021,48.361702127659576,0,23,23
3,24,41.59016393442623,50.950819672131146,0,24,24
3,25,67.5,50.5,0,25,25
3,26,14.71111111111111,53.91111111111111,0,26,26
3,27,34.095238095238095,54.904761904761905,0,27,27
3,28,25.97222222222222,58.69444444444444,0,28,28
3,29,81.74418604651163,66.46511627906976,0,29,29
3,30,29.115384615384617,72.11538461538461,0,30,30
3,31,68.32558139534883,71.67441860465117,0,31,31
3,32,57.80769230769231,71.88461538461539,0,32,32
3,33,44.48275862068966,74.37931034482759,0,33,33
3,34,52.5,75.30434782608695,0,34,34
3,35,90.5657894736842,78.5,0,35,35
3,36,7.787234042553192,78.87234042553192,0,36,36
3,37,37.702127659574465,80.29787234042553,0,37,37
3,38,56.096385542168676,87.49397590361446,0,38,38
3,39,33.34615384615385,88.65384615384616,0,39,39
4,1,57.47560975609756,8.036585365853659,0,1,1
4,2,82.5,10.0,0,2,2
4,3,41.67567567567568,13.621621621621621,0,3,3
4,4,15.62,18.96,0,4,4
4,5,72.65789473684211,21.394736842105264,0,5,5
4,6,56.0,23.5,0,6,6
4,7,81.70270270270271,31.62162162162162,0,7,7
4,8,40.84126984126984,34.0,0,8,8
4,9,70.82926829268293,34.390243902439025,0,9,9
4,10,57.529411764705884,35.94117647058823,0,10,10
4,11,27.541666666666668,42.416666666666664,0,11,11
4,12,33.75,45.083333333333336,0,12,12
4,13,51.68,45.32,0,13,13
4,14,63.35849056603774,47.79245283018868,0,14,14
4,15,14.019607843137255,52.8235294117647,0,15,15
4,16,90.0,55.0,0,16,16
4,17,73.49056603773585,56.41509433962264,0,17,17
4,18,65.33333333333333,58.875,0,18,18
4,19,51.22222222222222,61.644444444444446,0,19,19
4,20,28.444444444444443,65.57777777777778,0,20,20
4,21,55.5,66.0,0,21,21
4,22,34.53061224489796,73.51020408163265,0,22,22
4,23,69.975,76.125,0,23,23
4,24,11.044776119402986,78.29850746268657,0,24,24
4,25,21.844444444444445,82.57777777777778,0,25,25
4,26,52.51020408163265,84.06122448979592,0,26,26
4,27,70.11428571428571,88.25714285714285,0,27,27
4,28,5.88,88.8,0,28,28
4,29,22.0,91.5,0,29,29
4,30,39.38095238095238,92.19047619047619,0,30,30
5,1,8.666666666666666,5.875,0,1,1
5,2,30.842105263157894,6.157894736842105,0,2,2
5,3,20.428571428571427,11.742857142857142,0,3,3
5,4,14.64864864864865,14.162162162162161,0,4,4
5,5,68.17307692307692,13.826923076923077,0,5,5
5,6,23.317073170731707,19.853658536585368,0,6,6
5,7,7.65625,19.890625,0,7,7
5,8,37.625,22.84375,0,8,8
5,9,52.88135593220339,24.74576271186441,0,9,9
5,10,89.6590909090909,25.545454545454547,0,10,10
5,11,13.446808510638299,27.638297872340427,0,11,11
5,12,21.869565217391305,30.23913043478261,0,12,12
5,13,35.0,35.0,0,13,13
5,14,63.28947368421053,35.26315789473684,0,14,14
