ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects2
1,1,14.609756097560975,6.512195121951219,0,1,1
1,2,52.60606060606061,14.515151515151516,0,2,2
1,3,86.5,14.5,0,3,3
1,4,34.3,20.5,0,4,4
1,5,27.84375,25.375,0,5,5
1,6,8.105263157894736,26.210526315789473,0,6,6
1,7,50.63333333333333,26.366666666666667,0,7,7
1,8,89.15789473684211,25.842105263157894,0,8,8
1,9,18.5,26.705882352941178,0,9,9
1,10,16.294117647058822,37.5,0,10,10
1,11,46.05714285714286,37.34285714285714,0,11,11
1,12,25.366666666666667,43.63333333333333,0,12,12
1,13,69.45652173913044,42.84782608695652,0,13,13
1,14,58.083333333333336,54.02777777777778,0,14,14
1,15,70.375,54.84375,0,15,15
1,16,79.8974358974359,60.48717948717949,0,16,16
1,17,20.7027027027027,62.86486486486486,0,17,17
1,18,59.0,66.5,0,18,18
1,19,13.636363636363637,67.11363636363636,0,19,19
1,20,30.0,68.7560975609756,0,20,20
1,21,48.5,71.5,0,21,21
1,22,71.71428571428571,72.05714285714286,0,22,22
1,23,81.08333333333333,74.97222222222223,0,23,23
1,24,37.588235294117645,78.11764705882354,0,24,24
2,1,44.5,7.5,0,1,1
2,2,20.88372093023256,9.116279069767442,0,2,2
2,3,51.69444444444444,12.027777777777779,0,3,3
2,4,5.875,13.666666666666666,0,4,4
2,5,21.666666666666668,22.307692307692307,0,5,5
2,6,41.5,21.5,0,6,6
2,7,8.13888888888889,25.38888888888889,0,7,7
2,8,68.29729729729729,28.405405405405407,0,8,8
2,9,47.666666666666664,33.75757575757576,0,9,9
2,10,84.63333333333334,33.63333333333333,0,10,10
2,11,19.2,35.5,0,11,11
2,12,56.15151515151515,37.27272727272727,0,12,12
2,13,72.5,41.0,0,13,13
2,14,51.34615384615385,42.34615384615385,0,14,14
2,15,62.0,48.0,0,15,15
2,16,74.70588235294117,51.5,0,16,16
2,17,87.36666666666666,68.63333333333334,0,17,17
2,18,57.705882352941174,73.5,0,18,18
2,19,17.285714285714285,74.4,0,19,19
2,20,85.5,85.5,0,20,20
2,21,68.65789473684211,87.60526315789474,0,21,21
2,22,20.5,91.78571428571429,0,22,22
3,1,34.5,5.5,0,1,1
3,2,8.833333333333334,9.05,0,2,2
3,3,21.15625,12.625,0,3,3
3,4,12.578947368421053,18.289473684210527,0,4,4
3,5,81.6046511627907,22.790697674418606,0,5,5
3,6,43.1578947368421,22.42105263157895,0,6,6
3,7,63.05769230769231,29.326923076923077,0,7,7
3,8,41.5,34.5,0,8,8
3,9,30.375,37.15625,0,9,9
3,10,10.871794871794872,38.12820512820513,0,10,10
3,11,92.41379310344827,47.48275862068966,0,11,11
3,12,42.75675675675676,50.4054054054054,0,12,12
3,13,14.848484848484848,53.72727272727273,0,13,13
3,14,68.48484848484848,71.60606060606061,0,14,14
3,15,91.13333333333334,78.28888888888889,0,15,15
3,16,37.625,80.15625,0,16,16
4,1,55.4468085106383,7.446808510638298,0,1,1
4,2,82.87179487179488,9.871794871794872,0,2,2
4,3,15.625,18.875,0,3,3
4,4,82.0,31.5,0,4,4
4,5,41.8780487804878,32.951219512195124,0,5,5
4,6,57.23255813953488,35.72093023255814,0,6,6
4,7,63.5,47.5,0,7,7
4,8,73.5,56.294117647058826,0,8,8
4,9,28.264705882352942,66.0,0,9,9
4,10,34.5,73.70588235294117,0,10,10
4,11,10.789473684210526,78.10526315789474,0,11,11
4,12,21.705882352941178,82.5,0,12,12
4,13,38.8,92.12,0,13,13
5,1,8.7,5.85,0,1,1
5,2,19.93548387096774,11.580645161290322,0,2,2
5,3,14.5,14.0,0,3,3
5,4,68.5,13.5,0,4,4
5,5,7.204545454545454,19.681818181818183,0,5,5
5,6,23.482758620689655,19.896551724137932,0,6,6
5,7,53.225,24.65,0,7,7
5,8,89.5,25.2,0,8,8
5,9,13.482758620689655,27.620689655172413,0,9,9
5,10,21.823529411764707,29.823529411764707,0,10,10
5,11,35.12820512820513,35.12820512820513,0,11,11
5,12,10.0,38.5,0,12,12
5,13,47.14705882352941,40.088235294117645,0,13,13
5,14,81.57777777777778,41.8,0,14,14
5,15,21.61904761904762,53.26190476190476,0,15,15
5,16,84.5,53.0,0,16,16
5,17,11.375,57.15625,0,17,17
5,18,39.861111111111114,68.61111111111111,0,18,18
5,19,59.611111111111114,69.13888888888889,0,19,19
5,20,29.5,71.5,0,20,20
5,21,45.12820512820513,81.87179487179488,0,21,21
5,22,34.05714285714286,82.88571428571429,0,22,22
5,23,11.135135135135135,86.29729729729729,0,23,23
5,24,34.0,92.0,0,24,24
5,25,44.5,91.5,0,25,25
6,1,34.5,6.0,0,1,1
6,2,13.492307692307692,8.892307692307693,0,2,2
6,3,7.15,11.7,0,3,3
6,4,49.15909090909091,11.590909090909092,0,4,4
