ImageNumber,ObjectNumber,Children_DilateObjects1_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects1
1,1,1,13.821428571428571,6.892857142857143,0,1,1
1,2,1,58.285714285714285,6.5,0,2,2
1,3,1,28.0,14.2,0,3,4
1,4,1,51.64705882352941,14.529411764705882,0,4,5
1,5,1,85.5,14.5,0,5,6
1,6,1,13.133333333333333,18.2,0,6,8
1,7,1,33.36363636363637,20.5,0,7,9
1,8,1,72.23809523809524,21.523809523809526,0,8,11
1,9,1,26.647058823529413,25.0,0,9,12
1,10,1,7.2631578947368425,26.210526315789473,0,10,13
1,11,1,48.851851851851855,26.074074074074073,0,11,14
1,12,1,88.0,26.0,0,12,15
1,13,1,17.5,26.77777777777778,0,13,16
1,14,1,57.2,34.45,0,14,18
1,15,1,15.222222222222221,37.5,0,15,19
1,16,1,45.111111111111114,37.44444444444444,0,16,20
1,17,1,87.16666666666667,36.75,0,17,21
1,18,1,89.25,41.458333333333336,0,18,23
1,19,1,24.4,43.6,0,19,24
1,20,1,68.48,43.28,0,20,25
1,21,1,57.0,54.0,0,21,29
1,22,1,69.41176470588235,54.88235294117647,0,22,30
1,23,1,89.33333333333333,55.42857142857143,0,23,32
1,24,1,79.0,60.5,0,24,34
1,25,1,92.45454545454545,61.72727272727273,0,25,35
1,26,1,19.75,63.05,0,26,36
1,27,1,58.1,66.3,0,27,37
1,28,1,12.7,67.15,0,28,38
1,29,1,29.1,68.95,0,29,39
1,30,1,47.5,71.22222222222223,0,30,40
1,31,1,70.8125,72.1875,0,31,41
1,32,1,91.0,72.0,0,32,42
1,33,1,80.33333333333333,75.0,0,33,43
1,34,1,22.75,78.05,0,34,44
1,35,1,36.6,78.4,0,35,45
1,36,1,53.45454545454545,81.27272727272727,0,36,47
1,37,1,74.0,82.0,0,37,48
1,38,1,30.666666666666668,85.6,0,38,49
1,39,1,36.05,88.75,0,39,51
2,1,1,60.10526315789474,6.842105263157895,0,1,1
2,2,1,43.64705882352941,7.529411764705882,0,2,2
2,3,1,65.3913043478261,8.217391304347826,0,3,3
2,4,1,19.95,9.1,0,4,4
2,5,1,32.89473684210526,11.578947368421053,0,5,5
2,6,1,50.857142857142854,12.142857142857142,0,6,6
2,7,1,4.909090909090909,13.636363636363637,0,7,7
2,8,1,71.38461538461539,18.615384615384617,0,8,8
