ImageNumber,ObjectNumber,Children_DilateObjects2_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects1
1,1,1,14.652173913043478,6.521739130434782,0,1,1
1,2,1,52.64705882352941,14.529411764705882,0,2,4
1,3,1,86.5,14.5,0,3,5
1,4,1,34.36363636363637,20.5,0,4,8
1,5,1,27.88235294117647,25.41176470588235,0,5,10
1,6,1,8.047619047619047,26.19047619047619,0,6,11
1,7,1,50.6,26.4,0,7,12
1,8,1,89.14285714285714,25.857142857142858,0,8,13
1,9,1,18.5,26.77777777777778,0,9,14
1,10,1,16.22222222222222,37.5,0,10,15
1,11,1,46.05263157894737,37.31578947368421,0,11,16
1,12,1,25.4,43.6,0,12,18
1,13,1,69.46153846153847,42.76923076923077,0,13,19
1,14,1,58.1,54.05,0,14,21
1,15,1,70.41176470588235,54.88235294117647,0,15,22
1,16,1,79.85714285714286,60.476190476190474,0,16,25
1,17,1,20.7,62.9,0,17,26
1,18,1,59.0,66.5,0,18,27
1,19,1,13.6,67.08,0,19,28
1,20,1,30.0,68.82608695652173,0,20,29
1,21,1,48.5,71.5,0,21,30
1,22,1,71.78947368421052,72.05263157894737,0,22,31
1,23,1,81.1,74.95,0,23,33
1,24,1,37.611111111111114,78.16666666666667,0,24,34
2,1,1,44.5,7.5,0,1,2
2,2,1,20.916666666666668,9.083333333333334,0,2,4
2,3,1,51.75,12.05,0,3,6
2,4,1,5.909090909090909,13.636363636363637,0,4,7
2,5,1,21.636363636363637,22.318181818181817,0,5,9
2,6,1,41.5,21.5,0,6,10
2,7,1,8.105263157894736,25.42105263157895,0,7,13
2,8,1,68.23809523809524,28.38095238095238,0,8,15
2,9,1,47.705882352941174,33.705882352941174,0,9,16
2,10,1,84.6,33.6,0,10,17
2,11,1,19.272727272727273,35.5,0,11,18
2,12,1,56.111111111111114,37.27777777777778,0,12,19
2,13,1,72.5,41.0,0,13,20
2,14,1,51.38461538461539,42.38461538461539,0,14,21
2,15,1,62.0,48.0,0,15,22
2,16,1,74.77777777777777,51.5,0,16,25
2,17,1,87.4,68.6,0,17,29
2,18,1,57.77777777777778,73.5,0,18,30
2,19,1,17.210526315789473,74.36842105263158,0,19,31
2,20,1,85.5,85.5,0,20,34
2,21,1,68.61904761904762,87.57142857142857,0,21,35
2,22,1,20.5,91.71428571428571,0,22,37
3,1,1,34.5,5.5,0,1,1
3,2,1,8.911764705882353,9.0,0,2,2
3,3,1,21.11764705882353,12.588235294117647,0,3,5
3,4,1,12.523809523809524,18.285714285714285,0,4,8
3,5,1,81.58333333333333,22.791666666666668,0,5,9
3,6,1,43.142857142857146,22.333333333333332,0,6,10
3,7,1,62.96875,29.28125,0,7,12
3,8,1,41.5,34.5,0,8,13
3,9,1,30.41176470588235,37.11764705882353,0,9,15
3,10,1,10.909090909090908,38.09090909090909,0,10,16
3,11,1,92.38461538461539,47.46153846153846,0,11,19
3,12,1,42.75,50.45,0,12,20
3,13,1,14.88888888888889,53.72222222222222,0,13,22
3,14,1,68.47058823529412,71.6470588235294,0,14,26
3,15,1,91.11538461538461,78.3076923076923,0,15,29
3,16,1,37.588235294117645,80.11764705882354,0,16,30
4,1,1,55.407407407407405,7.444444444444445,0,1,1
