ImageNumber,ObjectNumber,Children_FilterObjects1_Count,Children_IdentifyPrimaryObjects2_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,1,13.821428571428571,6.892857142857143,0,1
1,2,1,1,58.285714285714285,6.5,0,2
1,3,0,0,81.66666666666667,6.888888888888889,0,3
1,4,1,1,28.0,14.2,0,4
1,5,1,1,51.64705882352941,14.529411764705882,0,5
1,6,1,1,85.5,14.5,0,6
1,7,0,0,4.5,16.5,0,7
1,8,1,1,13.133333333333333,18.2,0,8
1,9,1,1,33.36363636363637,20.5,0,9
1,10,0,0,43.67857142857143,21.107142857142858,0,10
1,11,1,1,72.23809523809524,21.523809523809526,0,11
1,12,1,1,26.647058823529413,25.0,0,12
1,13,1,1,7.2631578947368425,26.210526315789473,0,13
1,14,1,1,48.851851851851855,26.074074074074073,0,14
1,15,1,1,88.0,26.0,0,15
1,16,1,1,17.5,26.77777777777778,0,16
1,17,0,0,74.0,27.5,0,17
1,18,1,1,57.2,34.45,0,18
1,19,1,1,15.222222222222221,37.5,0,19
1,20,1,1,45.111111111111114,37.44444444444444,0,20
1,21,1,1,87.16666666666667,36.75,0,21
1,22,0,0,34.75,41.1875,0,22
1,23,1,1,89.25,41.458333333333336,0,23
1,24,1,1,24.4,43.6,0,24
1,25,1,1,68.48,43.28,0,25
1,26,0,0,32.68421052631579,45.68421052631579,0,26
1,27,0,0,11.961538461538462,47.30769230769231,0,27
1,28,0,0,46.629629629629626,48.851851851851855,0,28
1,29,1,1,57.0,54.0,0,29
1,30,1,1,69.41176470588235,54.88235294117647,0,30
1,31,0,0,29.857142857142858,56.07142857142857,0,31
1,32,1,1,89.33333333333333,55.42857142857143,0,32
1,33,0,0,34.125,56.875,0,33
1,34,1,1,79.0,60.5,0,34
1,35,1,1,92.45454545454545,61.72727272727273,0,35
1,36,1,1,19.75,63.05,0,36
1,37,1,1,58.1,66.3,0,37
1,38,1,1,12.7,67.15,0,38
1,39,1,1,29.1,68.95,0,39
1,40,1,1,47.5,71.22222222222223,0,40
1,41,1,1,70.8125,72.1875,0,41
1,42,1,1,91.0,72.0,0,42
1,43,1,1,80.33333333333333,75.0,0,43
1,44,1,1,22.75,78.05,0,44
1,45,1,1,36.6,78.4,0,45
1,46,0,0,12.0,79.2,0,46
1,47,1,1,53.45454545454545,81.27272727272727,0,47
1,48,1,1,74.0,82.0,0,48
1,49,1,1,30.666666666666668,85.6,0,49
1,50,0,0,92.03703703703704,84.37037037037037,0,50
1,51,1,1,36.05,88.75,0,51
1,52,0,0,13.75609756097561,90.2439024390244,0,52
1,53,0,0,46.38461538461539,90.61538461538461,0,53
1,54,0,0,25.357142857142858,92.21428571428571,0,54
2,1,1,1,60.10526315789474,6.842105263157895,0,1
2,2,1,1,43.64705882352941,7.529411764705882,0,2
2,3,1,1,65.3913043478261,8.217391304347826,0,3
2,4,1,1,19.95,9.1,0,4
2,5,1,1,32.89473684210526,11.578947368421053,0,5
2,6,1,1,50.857142857142854,12.142857142857142,0,6
2,7,1,1,4.909090909090909,13.636363636363637,0,7
2,8,1,1,71.38461538461539,18.615384615384617,0,8
2,9,1,1,20.894736842105264,22.42105263157895,0,9
2,10,1,1,40.5,21.5,0,10
2,11,1,1,52.708333333333336,24.291666666666668,0,11
2,12,1,1,79.0,24.5,0,12
2,13,1,1,7.105263157894737,25.42105263157895,0,13
2,14,0,0,90.5,27.5,0,14
2,15,1,1,67.44444444444444,28.5,0,15
2,16,1,1,31.19047619047619,29.047619047619047,0,16
2,17,1,1,46.5625,33.625,0,17
2,18,1,1,83.88235294117646,33.588235294117645,0,18
2,19,1,1,18.23076923076923,35.5,0,19
2,20,1,1,55.11764705882353,37.411764705882355,0,20
2,21,1,1,71.73684210526316,40.78947368421053,0,21
2,22,0,0,38.70967741935484,41.58064516129032,0,22
2,23,1,1,50.285714285714285,42.5,0,23
2,24,1,1,61.0,48.0,0,24
2,25,1,1,91.76470588235294,48.94117647058823,0,25
2,26,0,0,11.075,50.925,0,26
2,27,1,1,73.77777777777777,51.5,0,27
2,28,0,0,47.6,52.0,0,28
2,29,0,0,85.1,57.8,0,29
2,30,0,0,77.0909090909091,63.09090909090909,0,30
2,31,1,1,39.23529411764706,63.64705882352941,0,31
2,32,0,0,24.7,65.3,0,32
2,33,0,0,52.5,66.2,0,33
2,34,1,1,86.28571428571429,68.5,0,34
2,35,0,0,32.38461538461539,73.38461538461539,0,35
2,36,1,1,56.77777777777778,73.5,0,36
2,37,1,1,16.11764705882353,74.58823529411765,0,37
2,38,1,1,71.95,78.4,0,38
2,39,1,1,92.14285714285714,78.57142857142857,0,39
2,40,1,1,54.214285714285715,85.35714285714286,0,40
2,41,0,0,38.5,85.0,0,41
2,42,0,0,43.15384615384615,86.02564102564102,0,42
2,43,1,1,84.5,85.5,0,43
2,44,1,1,67.63157894736842,87.47368421052632,0,44
2,45,1,1,27.357142857142858,88.21428571428571,0,45
2,46,1,1,19.41176470588235,92.11764705882354,0,46
3,1,1,1,33.5,5.5,0,1
3,2,1,1,9.631578947368421,6.947368421052632,0,2
3,3,0,0,83.61904761904762,8.0,0,3
3,4,1,1,44.72222222222222,10.38888888888889,0,4
3,5,1,1,40.0,11.68421052631579,0,5
