ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects1
1,1,14.0,7.0,0,1,1
1,2,58.0,7.0,0,2,2
1,3,28.0,14.0,0,3,4
1,4,52.0,15.0,0,4,5
1,5,86.0,15.0,0,5,6
1,6,13.0,18.0,0,6,8
1,7,33.0,21.0,0,7,9
1,8,72.0,22.0,0,8,11
1,9,27.0,25.0,0,9,12
1,10,7.0,26.0,0,10,13
1,11,49.0,26.0,0,11,14
1,12,88.0,26.0,0,12,15
1,13,18.0,27.0,0,13,16
1,14,57.0,34.0,0,14,18
1,15,45.0,37.0,0,15,20
1,16,87.0909090909091,37.09090909090909,0,16,21
1,17,15.0,38.0,0,17,19
1,18,89.05263157894737,41.21052631578947,0,18,23
1,19,68.0,43.0,0,19,25
1,20,24.0,44.0,0,20,24
1,21,57.0,54.0,0,21,29
1,22,69.0,55.0,0,22,30
1,23,89.0,55.0,0,23,32
1,24,79.0,61.0,0,24,34
1,25,92.0,62.0,0,25,35
1,26,20.0,63.0,0,26,36
1,27,58.0,66.0,0,27,37
1,28,13.0,67.0,0,28,38
1,29,29.0,69.0,0,29,39
1,30,48.0,71.0,0,30,40
1,31,71.0,72.0,0,31,41
1,32,91.0,72.0,0,32,42
1,33,80.0,75.0,0,33,43
1,34,23.0,78.0,0,34,44
1,35,37.0,78.0,0,35,45
1,36,53.0,81.0,0,36,47
1,37,74.0,82.0,0,37,48
1,38,31.0,86.0,0,38,49
1,39,36.0,89.0,0,39,51
2,1,60.0,7.0,0,1,1
2,2,44.0,8.0,0,2,2
2,3,65.0,8.0,0,3,3
2,4,20.0,9.0,0,4,4
2,5,33.0,12.0,0,5,5
2,6,51.0,12.0,0,6,6
2,7,5.0,14.0,0,7,7
2,8,71.0,19.0,0,8,8
2,9,21.0,22.0,0,9,9
2,10,41.0,22.0,0,10,10
2,11,53.0,24.0,0,11,11
2,12,7.0,25.0,0,12,13
2,13,79.0,25.0,0,13,12
2,14,31.0,29.0,0,14,16
2,15,67.0,29.0,0,15,15
2,16,47.0,34.0,0,16,17
2,17,84.0,34.0,0,17,18
2,18,18.0,36.0,0,18,19
2,19,55.0,37.0,0,19,20
2,20,72.0,41.0,0,20,21
2,21,50.0,43.0,0,21,23
2,22,61.0,48.0,0,22,24
2,23,92.0,49.0,0,23,25
2,24,74.0,52.0,0,24,27
2,25,39.0,64.0,0,25,31
2,26,86.0,69.0,0,26,34
2,27,57.0,74.0,0,27,36
2,28,16.0,75.0,0,28,37
2,29,72.0,78.0,0,29,38
2,30,92.0,79.0,0,30,39
2,31,54.0,85.0,0,31,40
2,32,85.0,86.0,0,32,43
2,33,68.0,87.0,0,33,44
2,34,27.0,88.0,0,34,45
2,35,19.0,92.0,0,35,46
3,1,34.0,6.0,0,1,1
3,2,10.0,7.0,0,2,2
3,3,45.0,10.0,0,3,4
3,4,39.90909090909091,12.090909090909092,0,4,5
3,5,20.0,13.0,0,5,6
3,6,35.666666666666664,13.0,0,6,7
3,7,73.0,13.0,0,7,8
3,8,12.0,19.0,0,8,9
3,9,42.0,22.0,0,9,10
3,10,81.0,23.0,0,10,11
3,11,24.0,27.0,0,11,13
